asin,category,brand,global_min,global_max,global_norm_sd,log_mean_price
B08WM3LMJF,172282,JBL,24.95,59.95,0.28955203674144553,3.569650264585279
B092J8LPWR,172282,HANYCONY,9.72,20.82,0.1833524892404408,2.834669916363952
B09Z6Q2MLC,172282,Acoyer,11.69,11.69,0.0,2.540814281726296
B0CQF6T2K1,172282,Roku,9.12,15.95,0.19253119281680547,2.4436645401500257
B0CZPLV566,172282,Beats,97.99,199.99,0.20050568863129345,5.073953498581825
B0D7FVQ1ZB,172282,Apple,9.99,19.99,0.16499110201512507,2.9468308531958187
B0DGJ7HYG1,172282,Apple,99.0,179.99,0.1843560745553205,4.962244665486477
B0DXXYS4BJ,172282,Roku,15.0,29.99,0.16021916970568326,3.287326795167257
B0DZ77D5HL,172282,Apple,274.0,349.0,0.06068769489886602,5.713583992600572
B0FQF5BZ8Z,172282,Apple,299.0,429.0,0.09544366700863112,5.890584718901271
B0FQFB8FMG,172282,Apple,184.0,249.99,0.07318241636696923,5.409439720277661
B0GJTXVN9Z,172282,Apple,99.0,99.0,0.0,4.605170185988092
B00SFSU53G,172282,Mounting Dream,26.99,63.36,0.1389678743197109,3.8161082284773804
B07SHFPD8S,172282,Pipishell,14.99,28.08,0.13916827939136195,3.1175654903031225
B081HH5X61,172282,Nettbe,6.99,13.19,0.20689783685132243,2.4655539212721855
B09BKCDXZC,172282,Roku,24.98,49.99,0.12005872239113964,3.8153535123454843
B09FT58QQP,172282,TOZO,19.99,19.99,0.0,3.0440461338325413
B09LYF2ST7,172282,BERIBES,18.02,41.43,0.34481390376771004,3.307113433854962
B09ZRN1N3Z,172282,KODAK,91.97,179.95,0.14779480061860267,4.839843702460559
B0BQPNMXQV,172282,JBL,24.95,54.95,0.19236594383308914,3.7860263299972594
B0BQZBMXD4,172282,Twelve South,15.99,34.99,0.07072110120619043,3.551458950249133
B0BTYCRJSS,172282,Soundcore,19.97,39.99,0.12449988364258671,3.3642030671668035
B0C8PR4W22,172282,Beats,159.99,349.99,0.2059611150630183,5.51735429817822
B0CRTYZG5C,172282,Soundcore,23.99,49.99,0.21533710231411035,3.507258387213757
B0CTNWBT1Z,172282,JBL,38.0,49.95,0.07650601858217902,3.864949760669279
B0CVM2GJCN,172282,Philips,59.49,78.93,0.06056601462919142,4.26158958681972
B0D9WWB3WX,172282,OURA,249.0,349.0,0.0429333927418513,5.838538117580416
B0FHWKYT89,172282,Btootos,32.99,32.99,0.0,3.5260663637080247
B01KBEOL5E,172282,Amazon Basics,15.16,36.29,0.15118089240234348,3.4186538091480454
B01MTB55WH,172282,Anker,21.59,98.55,0.47985236336174314,3.954106749062641
