ASIN,Current_Price,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Recommendation
B00001R3W3,18.98,19.63,20.28,20.93,21.58,22.23,22.88,23.54,26.57,26.57,26.57,26.57,26.57,26.57,26.57,BUY
B00004WLJ6,5.89,6.09,6.29,6.5,6.7,6.9,7.1,7.3,8.25,8.25,8.25,8.25,8.25,8.25,8.25,BUY
B0000511U7,97.88,95.92,96.90,92.99,90.05,91.03,87.11,83.20,84.18,80.26,76.35,77.33,74.39,72.43,73.41,WAIT
B0000BYBVT,9.98,10.32,10.66,11.01,11.35,11.69,12.03,12.38,13.97,13.97,13.97,13.97,13.97,13.97,13.97,BUY
B000AJIF4E,113.0,110.74,111.87,107.35,103.96,105.09,100.57,96.05,97.18,92.66,88.14,89.27,85.88,83.62,84.75,WAIT
B000E8SWQM,17.63,18.23,18.84,19.44,20.05,20.65,21.26,21.86,24.68,24.68,24.68,24.68,24.68,24.68,24.68,BUY
B000J1FABY,29.97,29.49,29.01,28.52,28.04,27.56,27.08,26.6,20.89,21.83,22.77,23.72,24.66,25.61,26.55,WAIT
B000JE9LD4,44.99,45.75,46.51,47.27,48.03,48.79,49.55,50.31,61.03,59.08,57.12,55.17,53.21,51.26,49.3,BUY
B000JJI6XA,17.95,17.59,17.77,17.05,16.51,16.69,15.98,15.26,15.44,14.72,14.00,14.18,13.64,13.28,13.46,WAIT
B00176T9OY,48.14,49.79,51.44,53.09,54.74,56.39,58.04,59.69,67.4,67.4,67.4,67.4,67.4,67.4,67.4,BUY
B001E1Y5O6,8.96,9.27,9.57,9.88,10.19,10.5,10.8,11.11,12.54,12.54,12.54,12.54,12.54,12.54,12.54,BUY
B001EVGIYG,24.99,24.49,24.74,23.74,22.99,23.24,22.24,21.24,21.49,20.49,19.49,19.74,18.99,18.49,18.74,WAIT
B002HZHUCW,42.99,42.31,41.64,40.96,40.28,39.6,38.93,38.25,35.09,35.09,35.09,35.09,35.09,35.09,35.09,WAIT
B002NU5O9C,25.99,26.88,27.77,28.66,29.55,30.45,31.34,32.23,36.39,36.39,36.39,36.39,36.39,36.39,36.39,BUY
B002QPZXH2,21.99,22.74,23.5,24.25,25.01,25.76,26.51,27.27,30.79,30.79,30.79,30.79,30.79,30.79,30.79,BUY
B00378KMFU,279.0,273.42,276.21,265.05,256.68,259.47,248.31,237.15,239.94,228.78,217.62,220.41,212.04,206.46,209.25,WAIT
B003L1717K,9.79,10.13,10.46,10.8,11.13,11.47,11.8,12.14,13.71,13.71,13.71,13.71,13.71,13.71,13.71,BUY
B0044ABZWE,32.67,32.02,32.34,31.04,30.06,30.38,29.08,27.77,28.10,26.79,25.48,25.81,24.83,24.18,24.50,WAIT
B004PO10E2,109.0,112.74,116.47,120.21,123.95,127.69,131.42,135.16,152.6,152.6,152.6,152.6,152.6,152.6,152.6,BUY
B004R4N2B4,33.26,34.4,35.54,36.68,37.82,38.96,40.1,41.24,46.56,46.56,46.56,46.56,46.56,46.56,46.56,BUY
B005VULXA0,10.39,10.75,11.1,11.46,11.81,12.17,12.53,12.88,14.55,14.55,14.55,14.55,14.55,14.55,14.55,BUY
B006LW0W5Y,8.78,9.08,9.38,9.68,9.98,10.29,10.59,10.89,12.29,12.29,12.29,12.29,12.29,12.29,12.29,BUY
B006T9ZKAQ,4.95,5.12,5.29,5.46,5.63,5.8,5.97,6.14,6.93,6.93,6.93,6.93,6.93,6.93,6.93,BUY
B0081SRIFS,25.0,25.86,26.71,27.57,28.43,29.29,30.14,31.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,BUY
B008GRTSV6,20.99,21.71,22.43,23.15,23.87,24.59,25.31,26.03,29.39,29.39,29.39,29.39,29.39,29.39,29.39,BUY
B0093162RM,76.29,74.76,75.53,72.48,70.19,70.95,67.90,64.85,65.61,62.56,59.51,60.27,57.98,56.45,57.22,WAIT
B00B1EO1Z4,29.99,31.02,32.05,33.07,34.1,35.13,36.16,37.19,41.99,41.99,41.99,41.99,41.99,41.99,41.99,BUY
B00DESZGFO,29.66,30.68,31.69,32.71,33.73,34.74,35.76,36.78,41.52,41.52,41.52,41.52,41.52,41.52,41.52,BUY
B00DOMYL24,15.99,16.54,17.09,17.63,18.18,18.73,19.28,19.83,22.39,22.39,22.39,22.39,22.39,22.39,22.39,BUY
B00ECDM78E,129.0,126.46,123.92,121.39,118.85,116.31,113.77,111.23,99.39,99.39,99.39,99.39,99.39,99.39,99.39,WAIT
B00FRODUR4,6.49,6.71,6.94,7.16,7.38,7.6,7.83,8.05,9.09,9.09,9.09,9.09,9.09,9.09,9.09,BUY
B00HH4AU1Q,44.99,44.39,43.78,43.18,42.58,41.97,41.37,40.76,29.34,31.69,34.03,36.38,38.73,41.08,43.42,BUY
B00KZP1BUI,16.99,17.57,18.16,18.74,19.32,19.9,20.49,21.07,23.79,23.79,23.79,23.79,23.79,23.79,23.79,BUY
B00L3KO5WK,5.74,5.94,6.13,6.33,6.53,6.72,6.92,7.12,8.04,8.04,8.04,8.04,8.04,8.04,8.04,BUY
B00NBC3IVW,47.84,49.48,51.12,52.76,54.4,56.04,57.68,59.32,66.98,66.98,66.98,66.98,66.98,66.98,66.98,BUY
B00NJ2M33I,14.88,15.38,15.88,16.38,16.88,17.37,17.87,18.37,20.5,20.55,20.61,20.66,20.72,20.78,20.83,BUY
B00NKYYMAW,28.47,29.45,30.42,31.4,32.37,33.35,34.33,35.3,39.86,39.86,39.86,39.86,39.86,39.86,39.86,BUY
B00NMJTEC6,41.62,41.31,40.99,40.68,40.36,40.05,39.73,39.42,37.95,37.95,37.95,37.95,37.95,37.95,37.95,WAIT
B00Q6P4CMA,9.99,10.33,10.68,11.02,11.36,11.7,12.05,12.39,13.99,13.99,13.99,13.99,13.99,13.99,13.99,BUY
