,importance
dist_from_30d_low,0.22393683
price_minmax_asin,0.09530312
price_z_asin,0.08589789
pct_change_14d,0.037548237
rsi_14d,0.032675423
price_vs_global_min,0.028782543
month,0.022469362
global_norm_sd,0.02096297
log_mean_price,0.020836767
global_mean,0.020800227
price_vs_global_mean,0.020701122
global_max,0.019606885
list_price,0.019171856
price_vs_global_max,0.018810652
global_min,0.018530136
count_used,0.01832764
roll7_mean,0.01672761
new_price,0.016521566
day_of_year_cos,0.016355753
day_of_year_sin,0.015974274
used_price,0.015875854
keepa_minutes,0.015672775
roll7_max,0.015583038
price_lag30,0.014934152
dist_from_30d_high,0.014544541
count_new,0.013937832
price_lag1,0.01363866
sales_score,0.01320524
roll7_min,0.013000711
price,0.01297632
amazon_pct_change_7d,0.012246317
amazon_ma_14d,0.012060058
amazon_ma_7d,0.011555676
roll7_std,0.010367809
amazon_delta_7d,0.0092857545
velocity_3d,0.008920885
rsi_7d,0.0073263263
price_vs_roll7_z,0.006923902
pct_change_1d,0.0061804126
day_of_week,0.0018228691
