,importance
amazon_ma_14d,0.41642886
amazon_ma_7d,0.3435457
price,0.08713989
log_mean_price,0.044626713
global_mean,0.04329552
list_price,0.022914153
global_min,0.009578158
price_lag1,0.007248652
global_max,0.006385573
count_new,0.0038551248
roll7_mean,0.0018713988
new_price,0.0012608923
price_vs_global_max,0.0009170933
price_vs_global_min,0.0009028779
global_norm_sd,0.0008224123
month,0.0005844344
price_minmax_asin,0.00053969695
keepa_minutes,0.0005348358
used_price,0.0005325716
price_vs_global_mean,0.00052589417
day_of_year_cos,0.00050253567
roll7_max,0.000495567
dist_from_30d_low,0.0004772417
dist_from_30d_high,0.00046417242
day_of_year_sin,0.0004460442
roll7_min,0.00040622818
amazon_pct_change_7d,0.00040438355
price_lag30,0.0003625108
sales_score,0.0003581172
price_z_asin,0.00034363568
pct_change_14d,0.0003205747
rsi_7d,0.00028843235
rsi_14d,0.0002815171
count_used,0.00027936764
price_vs_roll7_z,0.00025481917
amazon_delta_7d,0.00024252142
roll7_std,0.00019157532
velocity_3d,0.00015743998
pct_change_1d,0.00014662124
day_of_week,6.610472e-05
