asin,category,brand,global_min,global_max,global_sd
B092J8LPWR,172282,HANYCONY,9.72,20.82,2.9429350099098537
B0BQPNMXQV,172282,JBL,24.95,54.95,8.287295852279554
B0BQS9Y69G,172282,Roku,11.49,19.99,0.6991818475683543
B0CTNWBT1Z,172282,JBL,38.0,49.95,3.5728980803587813
B0CZPGX972,172282,Beats,97.99,199.99,30.852155652795062
B0D7FVQ1ZB,172282,Apple,9.99,19.99,2.9773469314139387
B0DGHMNQ5Z,172282,Apple,69.0,129.99,15.693751385340986
B0DXXYS4BJ,172282,Roku,15.0,29.99,4.237090520888836
B0DZ7871B8,172282,Apple,267.17,349.99,21.166559422423294
B0FQF5BZ8Z,172282,Apple,299.0,429.0,34.59223761548807
B0FQFB8FMG,172282,Apple,184.0,249.99,16.283550632448076
B0GJTFXNRX,172282,Apple,29.0,29.0,0.0
B00SFSU53G,172282,Mounting Dream,26.99,63.36,6.177295927361013
B07SHFPD8S,172282,Pipishell,14.99,28.08,3.0070111505480743
B08WM3LMJF,172282,JBL,24.95,59.95,9.99075383260279
B09BKCDXZC,172282,Roku,24.98,49.99,5.330351036154066
B09FT58QQP,172282,TOZO,19.99,19.99,0.0
B09LYF2ST7,172282,BERIBES,18.02,41.43,9.070740231352191
B09SG2Q23M,172282,Anker,18.98,35.99,3.748061694236156
B09ZRN1N3Z,172282,KODAK,91.97,179.95,18.54079661356103
B0BQZBMXD4,172282,Twelve South,15.99,34.99,2.394909657952063
B0BTYCRJSS,172282,Soundcore,19.97,39.99,3.4748475820088296
B0C8PR4W22,172282,Beats,159.99,349.99,51.07330023905969
B0D9WWB3WX,172282,OURA,249.0,349.0,14.695119000844455
B0DN45YMP6,172282,JBL,39.94,64.95,5.313583685547786
B0DXY833HV,172282,Roku,19.0,44.99,5.633298146119207
B01KBEOL5E,172282,Amazon Basics,15.16,36.29,4.445190661302379
B01MTB55WH,172282,Anker,21.59,98.55,24.54401215653193
B075F6TB7F,172282,Skullcandy,3.99,19.0,1.5937416363015051
B081HH5X61,172282,Nettbe,6.99,13.19,2.480607564466594
B08KW1KR5H,172282,JBL,24.95,49.95,6.2746736654235
B09BKHHL5H,172282,Lvetek,8.49,26.95,9.10397767283376
B0C859YMN6,172282,xiwxi,8.99,8.99,0.0
B0CRTYZG5C,172282,Soundcore,23.99,49.99,6.967596118413719
B0CSXV3GK4,172282,Aptkdoe,23.39,40.83,3.730647988382599
B0CTBCDD6D,172282,JBL,39.95,95.95,15.41719138220563
B0D54JZTHY,172282,Apple,59.98,99.0,7.98445461950497
B0F8YDRXNY,172282,Roku,109.99,139.99,10.049875621120895
B00DI89WDW,172282,KabelDirekt,5.99,16.97,2.96299707114243
B00NKYYMAW,172282,Mounting Dream,20.02,49.99,4.796302823887921
B072BYGKZZ,172282,Amazon Basics,3.75,9.4,0.8485593005353971
B0C2W1KLSS,172282,Beats,89.95,169.99,25.805728007612913
B0CWXNS552,172282,Apple,13.91,27.98,3.7883495843376336
B0D63657GY,172282,Life360,14.0,24.99,3.173333460586448
B0D637HK8Q,172282,Life360,19.94,34.99,3.326598120543955
B0DVYY4D37,172282,Beats,198.95,278.99,24.608643063218377
B0FDDCBHXL,172282,Samsung,997.98,1238.48,61.553370600010375
B0FQFNRH72,172282,Apple,199.0,249.0,15.136033252195578
B00NJ2M33I,172282,Sony,7.99,19.99,1.9826521729330566
B07QDPXCSH,172282,JBL,69.95,129.95,14.919837815096969
B0B5MC86ZW,172282,Belkin,57.01,74.99,3.4839556780429155
B0BRTSY1N9,172282,DoHonest,24.48,44.35,5.389518950190529
B0CCZ26B5V,172282,Bose,159.99,359.0,60.212321545459275
B0CTP56C5R,172282,JBL,49.93,99.95,10.838506884961197
B0CVM2GJCN,172282,Philips,59.49,78.93,4.272570081583309
B0D8WJYSF9,172282,Google,74.99,105.93,5.1617611831365915
B0DM3DG29F,172282,Roku,79.49,129.98,11.643225107384128
B0DWG9ZBTF,172282,Roku,348.0,464.11,28.42951429203031
B0FVXMHHRP,172282,Samsung,202.0,249.99,13.833108342906622
B01JRNR92W,172282,PERLESMITH,18.97,33.45,4.487656753558042
B09BF64J55,172282,KVIDIO,19.84,39.63,3.9816398481284736
B0BWNZLQ69,172282,Fujifilm,69.0,93.95,5.475860902603334
B0D1XD1ZV3,172282,Apple,139.0,249.0,19.615656941466455
B0DN2ZCZX6,172282,JBL,129.95,199.95,24.194145580383626
B0G1P2JL4L,172282,Samsung,219.0,249.99,10.607630319727402
B004R4N2B4,172282,KODAK,14.01,34.99,3.6555074604533515
B08L6ZYW21,172282,Beats,29.99,69.95,10.150751537607967
B0BSGQL41X,172282,Sony,33.0,114.14,13.940704565871103
B0CCBXRYRC,172282,Samsung,15.89,36.95,2.2579620560405456
B0CTBD4X55,172282,Roku,25.58,31.03,0.9295837222306668
B0D3J85SX4,172282,Beats,49.95,79.99,10.756170743964152
B0D6WD2QSQ,172282,Bose,99.0,159.0,16.04365511834615
B0DJFYK3XD,172282,Belkin,29.55,36.99,2.631601210432144
B0DYQZFXSN,172282,Hisense,89.99,179.99,17.943136986152847
B0F1GF1KFC,172282,Dell,199.99,299.99,15.414422940693633
B0FD5BMSFH,172282,Samsung,607.99,775.98,49.671043264503076
B0GQVB4KJC,172282,Apple,709.0,749.0,15.103564115797308
B006LW0W5Y,172282,Amazon Basics,8.15,19.99,2.4251962144722596
B07QKYTGH9,172282,Linsoul,39.99,56.06,4.636134308053861
B0B1LVC5VZ,172282,Soundcore,42.99,173.37,19.114708817027825
B0CT3SGHXL,172282,Garmin,189.99,249.99,14.182389019255215
B0D9MK23S7,172282,acer,89.99,149.99,23.23472189444417
B0DYJWL6QS,172282,VELCRO Brand,6.14,10.99,0.8889166943068176
B0FNWCYLZN,172282,Soundcore,34.99,59.99,8.22226914401026
B00DOMYL24,172282,GE,8.5,36.69,3.787830471205525
B07HH1QSLB,172282,Amazon Basics,5.97,14.82,1.5983293665512537
B07Z7YMQYT,172282,Electcom Pro,29.79,49.99,3.2595535912100897
B0BS74M665,172282,Sony,74.99,179.99,19.423667813507052
B0DMV3BMGP,172282,JBL,99.95,149.95,13.270890913310096
B0F1GY8F7F,172282,Dell,79.98,110.0,7.367450233617803
B0F53L8J78,172282,TOZO,26.99,26.99,0.0
B0746RBK2M,172282,noot products,10.99,27.55,2.4513551800503364
B0CFV9XR2Q,172282,Picun,16.14,67.92,7.908135396583756
B0CRT6HQ82,172282,Soundcore,55.99,79.99,9.587886889195133
B0CXPRHTNB,172282,Nothing,71.74,108.98,16.118745470896787
B0DY1YFP8C,172282,Samsung,177.99,297.99,29.65092619382508
B0FC9K6WBZ,172282,Sceptre,149.97,249.97,27.23229354976568
B0FT21HKZ6,172282,Sceptre,59.97,75.88,4.902439162230267
B00176T9OY,172282,Midland,21.4,49.99,6.347814477866357
B088D8JG3L,172282,KYY,111.52,174.23,13.920586182593514
B08YDW8HKX,172282,Auoace,14.99,34.3,4.654450972412894
B0C5NQSPMN,172282,JBL,9.95,19.95,0.7814953319222305
B0C8ZKV5R9,172282,Philips,67.99,129.67,10.609815118691527
B0CT39QKWL,172282,Oligei,5.99,5.99,0.0
B0D17TFVTF,172282,Antool,13.99,19.0,2.3617366491630687
B0DCKHXDC3,172282,Apple,58.62,62.65,0.9290427814669887
B0DDV3FRHR,172282,Sony,244.99,399.99,37.16599091545431
B0DYJN3ZM8,172282,Amazfit,64.99,79.99,6.020163878768541
B0F25BWMV5,172282,Fujifilm,30.64,35.99,0.7683032861499839
